UNITTYPE,DIAM,OWN,BOTNAME,LONGITUDE,LATITUDE
DECID,11,PEEL,NORWAY MAPLE,-79.6541080304827,43.5288115623877
DECID,19,MISS,NORWAY MAPLE,-79.6513982773312,43.5288155537793
MULTI,9,MISS,RUSSIAN OLIVE,-79.642426637368,43.5288166014934
DECID,34,MISS,FLOWERING CRAB APPLE,-79.6240551728102,43.5288190842667
DECID,7,MISS,YELLOW BIRCH,-79.6274968024398,43.5288201186987
DECID,33,MISS,NORWAY MAPLE,-79.6753803504133,43.5288210599097
CONFIR,50,MISS,COLORADO BLUE SPRUCE,-79.6243964290747,43.5288213003771
DECID,13,MISS,ENGLISH OAK,-79.6512025986247,43.5288223393374
DECID,28,MISS,WHITE BIRCH,-79.6271904538337,43.5288229231563
DECID,6,MISS,IVORY SILK JAPANESE LILAC,-79.6693947997136,43.5288235802625
DECID,23,MISS,NORWAY MAPLE,-79.674728343808,43.5288248483047
DECID,33,MISS,HONEY LOCUST,-79.6238491081135,43.528825337805
DECID,21,MISS,NORWAY MAPLE,-79.6622655070898,43.5288274456528
DECID,14,MISS,HONEY LOCUST,-79.6747839469545,43.5288287343802
DECID,26,MISS,NORWAY MAPLE,-79.6636885794725,43.5288306734207
DECID,11,MISS,NORWAY MAPLE,-79.6260424544707,43.5288319115673
MULTI,10,MISS,FLOWERING CRAB APPLE,-79.6257861613982,43.5288320723827
MULTI,9,MISS,RUSSIAN OLIVE,-79.6424142691502,43.5288328421128
DECID,35,MISS,HONEY LOCUST,-79.6560147774749,43.52883462561
DECID,15,MISS,NORWAY SCHWENDLER MAPLE,-79.6653211279009,43.5288355189722
CONFIR,7,MISS,COLORADO BLUE SPRUCE,-79.6588525037091,43.528835627829
DECID,6,MISS,GREENSPIRE LINDEN,-79.6677683087671,43.5288358813003
DECID,23,MISS,FLOWERING CRAB APPLE,-79.6608951223452,43.5288367928426
DECID,19,MISS,NORWAY MAPLE,-79.6655608333527,43.5288411986617
DECID,6,MISS,SWAMP WHITE OAK,-79.6249332155191,43.5288441192656
DECID,17,MISS,NORWAY MAPLE,-79.6620787216689,43.5288462393501
